slice,value,n,core_pct,full_pct,answerability_pct,temporal_filter_pct,false_plot_pct,audit
language,vi,1332,81.6817,72.5976,81.8318,99.4745,18.1682,vi_diacritic
domain,economy,23,78.2609,69.5652,82.6087,100.0,17.3913,vi_diacritic
domain,education,11,81.8182,72.7273,81.8182,100.0,18.1818,vi_diacritic
domain,energy,11,81.8182,72.7273,81.8182,100.0,18.1818,vi_diacritic
domain,environment,22,81.8182,72.7273,81.8182,100.0,18.1818,vi_diacritic
domain,finance,11,81.8182,72.7273,81.8182,100.0,18.1818,vi_diacritic
domain,health,22,81.8182,72.7273,81.8182,100.0,18.1818,vi_diacritic
domain,labor,11,81.8182,72.7273,81.8182,100.0,18.1818,vi_diacritic
domain,population,11,81.8182,72.7273,81.8182,100.0,18.1818,vi_diacritic
domain,technology,11,81.8182,72.7273,81.8182,100.0,18.1818,vi_diacritic
domain,worldbank_expansion,1199,81.7348,72.6439,81.8182,99.4162,18.1818,vi_diacritic
task_type,mixed_temporal_ranking,121,100.0,100.0,100.0,100.0,0.0,vi_diacritic
task_type,stat_average_period,121,100.0,100.0,100.0,100.0,0.0,vi_diacritic
task_type,stat_change,121,100.0,0.0,100.0,100.0,0.0,vi_diacritic
task_type,stat_ranking_topk,121,100.0,100.0,100.0,100.0,0.0,vi_diacritic
task_type,stat_unanswerable,121,0.0,0.0,0.0,99.1736,100.0,vi_diacritic
task_type,temporal_boundary_check,121,99.1736,99.1736,100.0,99.1736,0.0,vi_diacritic
task_type,temporal_granularity_unanswerable,121,0.0,0.0,0.0,95.8678,100.0,vi_diacritic
task_type,temporal_period_filter,121,100.0,100.0,100.0,100.0,0.0,vi_diacritic
task_type,temporal_previous_window,121,100.0,100.0,100.0,100.0,0.0,vi_diacritic
task_type,temporal_recent_window,121,100.0,100.0,100.0,100.0,0.0,vi_diacritic
task_type,temporal_trend,121,100.0,100.0,100.0,100.0,0.0,vi_diacritic
answerability,answerable,1090,99.8165,88.7156,100.0,99.9083,0.0,vi_diacritic
answerability,unanswerable,242,0.0,0.0,0.0,97.5207,100.0,vi_diacritic
language,en,33,84.8485,78.7879,87.8788,100.0,12.1212,non_worldbank
language,vi,23,78.2609,73.913,82.6087,86.9565,17.3913,non_worldbank
domain,economy,29,79.3103,68.9655,86.2069,93.1034,13.7931,non_worldbank
domain,health,27,85.1852,85.1852,85.1852,96.2963,14.8148,non_worldbank
answerability,answerable,48,95.8333,89.5833,100.0,100.0,0.0,non_worldbank
answerability,unanswerable,8,0.0,0.0,0.0,62.5,100.0,non_worldbank
